value,site_id,site,deck_id,owner_id
https://www.archidekt.com/decks/262437,1,Archidekt,262437,NA
https://archidekt.com/decks/224794,1,Archidekt,224794,NA
https://archidekt.com/decks/358106,1,Archidekt,358106,NA
https://archidekt.com/decks/341825,1,Archidekt,341825,NA
https://archidekt.com/decks/341948,1,Archidekt,341948,NA
https://archidekt.com/decks/342310,1,Archidekt,342310,NA
https://archidekt.com/decks/342294,1,Archidekt,342294,NA
https://archidekt.com/decks/341799,1,Archidekt,341799,NA
https://archidekt.com/decks/342204,1,Archidekt,342204,NA
http://tappedout.net/mtg-decks/the-saproling-industrial-complex/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/the-gitrog-monster-lands-matterinfinite-bears/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/horse-of-notions-2/,2,TappedOut,NA,NA
https://archidekt.com/decks/160096,1,Archidekt,160096,NA
https://archidekt.com/decks/307434,1,Archidekt,307434,NA
https://archidekt.com/decks/284733,1,Archidekt,284733,NA
https://archidekt.com/decks/265532,1,Archidekt,265532,NA
https://tappedout.net/mtg-decks/rakdos-lord-of-combos-3/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/jarads-giant-graveyard/,2,TappedOut,NA,NA
https://archidekt.com/decks/69942,1,Archidekt,69942,NA
https://tappedout.net/mtg-decks/bragos-blink-contest/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/hogaak-avatar-of-graveyard-combo/,2,TappedOut,NA,NA
https://archidekt.com/decks/175924,1,Archidekt,175924,NA
https://tappedout.net/mtg-decks/neheb-wheeling/,2,TappedOut,NA,NA
http://tappedout.net/mtg-decks/the-edgiest-mono-white-deck-youve-ever-seen-1/,2,TappedOut,NA,NA
https://archidekt.com/decks/388879,1,Archidekt,388879,NA
https://archidekt.com/decks/368865,1,Archidekt,368865,NA
https://archidekt.com/decks/276470,1,Archidekt,276470,NA
https://archidekt.com/decks/102576,1,Archidekt,102576,NA
https://tappedout.net/mtg-decks/24-02-19-tigers-shadow/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/rapid-resonator-reduction/,2,TappedOut,NA,NA
https://archidekt.com/decks/178468,1,Archidekt,178468,NA
http://tappedout.net/mtg-decks/pirate-killers/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/grenzos-slots-of-misfortune/,2,TappedOut,NA,NA
https://archidekt.com/decks/191543,1,Archidekt,191543,NA
https://archidekt.com/decks/191512,1,Archidekt,191512,NA
https://archidekt.com/decks/192891,1,Archidekt,192891,NA
https://archidekt.com/decks/221144,1,Archidekt,221144,NA
https://www.mtggoldfish.com/deck/2271422,4,MTG Goldfish,NA,NA
https://www.mtggoldfish.com/deck/2598298,4,MTG Goldfish,NA,NA
https://tappedout.net/mtg-decks/karls-spooky-staff-meeting/,2,TappedOut,NA,NA
https://archidekt.com/decks/367649,1,Archidekt,367649,NA
https://tappedout.net/mtg-decks/29-01-20-edh-omnath-locus-of-rage/,2,TappedOut,NA,NA
https://tappedout.net/mtg-decks/edh-mayael-the-anima-4/,2,TappedOut,NA,NA
https://archidekt.com/decks/387831,1,Archidekt,387831,NA
https://tappedout.net/mtg-decks/wheel-o-wisp/,2,TappedOut,NA,NA
